year,month,fixed_route,mobility
2014,9,269623,6284
2014,10,291191,7250
2014,11,220130,5868
2014,12,194005,6099
2015,1,214472,5835
2015,2,225800,5518
2015,3,231323,6540
2015,4,253746,6328
2015,5,170308,5590
2015,6,159222,5932
2015,7,161363,6123
2015,8,216299,5678
2015,9,247718,6110
2015,10,262995,6539
2015,11,198553,5726
2015,12,171378,5834
2016,1,195994,6065
2016,2,230372,6527
2016,3,218586,7348
2016,4,229659,6910
2016,5,153151,6287
2016,6,141560,6557
2016,7,131750,6075
2016,8,175700,7128
2016,9,194961,6928
2016,10,215279,7191
2016,11,170351,6572
2016,12,167469,6489
2017,1,166215,6501
2017,2,221420,7266
2017,3,220804,8013
2017,4,237610,7300
2017,5,179628,6936
2017,6,136454,7013
2017,7,138075,6694
2017,8,206628,6987
2017,9,226611,7073
2017,10,236084,7751
2017,11,197725,7291
2017,12,160336,6723
2018,1,164598,7300
2018,2,193452,7486
2018,3,192440,8421
2018,4,213790,8493
2018,5,166792,7586
2018,6,143765,7217
2018,7,147044,7253
2018,8,216235,7842
2018,9,243494,7253
2018,10,264670,8540
2018,11,218148,7465
2018,12,171450,7203
2019,1,182241,6688
2019,2,217324,7733
2019,3,210221,7958
2019,4,248258,8054
2019,5,176834,7609
2019,6,147035,6917
2019,7,153754,7078
2019,8,206663,7154
2019,9,230572,7022
2019,10,261519,8041
2019,11,216824,7084
2019,12,174428,6857
2020,1,204683,7511
2020,2,236504,7298
2020,3,143069,4754
2020,4,87568,1982
2020,5,89360,2083
