agency_name,year_quarter,route_id,count,route_name,year,month
Connect Transit,2019_Q1,3ad7a14,24117,Green,2019,3
Connect Transit,2019_Q1,4a9b1c9,28657,Red,2019,3
Connect Transit,2019_Q1,98eb7da,28981,Lime,2019,3
Connect Transit,2019_Q1,50fb71c,6784,Aqua,2019,3
Connect Transit,2019_Q1,e564f56,4529,Orange,2019,3
Connect Transit,2019_Q1,9e089f6,5761,Gold,2019,3
Connect Transit,2019_Q1,aa1e906,11083,Purple,2019,3
Connect Transit,2019_Q1,2e1efe7,4364,Blue,2019,3
Connect Transit,2019_Q1,b5fb45c,4788,Brown,2019,3
Connect Transit,2019_Q1,50c6abf,5185,Tan,2019,3
Connect Transit,2019_Q1,2c1c58c,6727,Pink,2019,3
Connect Transit,2019_Q1,b352a9c,14083,Yellow,2019,3
Connect Transit,2019_Q1,2d85be4,3566,Olive,2019,3
Connect Transit,2019_Q1,462be7a,55184,Redbird,2019,3
Connect Transit,2019_Q1,3461910,6412,Silver,2019,3
Connect Transit,2019_Q1,3ad7a14,32850,Green,2019,4
Connect Transit,2019_Q1,4a9b1c9,29856,Red,2019,4
Connect Transit,2019_Q1,98eb7da,31978,Lime,2019,4
Connect Transit,2019_Q1,50fb71c,7620,Aqua,2019,4
Connect Transit,2019_Q1,e564f56,4974,Orange,2019,4
Connect Transit,2019_Q1,9e089f6,6594,Gold,2019,4
Connect Transit,2019_Q1,aa1e906,10392,Purple,2019,4
Connect Transit,2019_Q1,2e1efe7,6922,Blue,2019,4
Connect Transit,2019_Q1,b5fb45c,5078,Brown,2019,4
Connect Transit,2019_Q1,50c6abf,5820,Tan,2019,4
Connect Transit,2019_Q1,2c1c58c,7708,Pink,2019,4
Connect Transit,2019_Q1,b352a9c,17852,Yellow,2019,4
Connect Transit,2019_Q1,2d85be4,3696,Olive,2019,4
Connect Transit,2019_Q1,462be7a,69756,Redbird,2019,4
Connect Transit,2019_Q1,3461910,7162,Silver,2019,4
Connect Transit,2019_Q1,3ad7a14,27705,Green,2019,5
Connect Transit,2019_Q1,4a9b1c9,28146,Red,2019,5
Connect Transit,2019_Q1,98eb7da,29656,Lime,2019,5
Connect Transit,2019_Q1,50fb71c,7604,Aqua,2019,5
Connect Transit,2019_Q1,e564f56,4452,Orange,2019,5
Connect Transit,2019_Q1,9e089f6,5722,Gold,2019,5
Connect Transit,2019_Q1,aa1e906,10760,Purple,2019,5
Connect Transit,2019_Q1,2e1efe7,6660,Blue,2019,5
Connect Transit,2019_Q1,b5fb45c,4434,Brown,2019,5
Connect Transit,2019_Q1,50c6abf,5016,Tan,2019,5
Connect Transit,2019_Q1,2c1c58c,6970,Pink,2019,5
Connect Transit,2019_Q1,b352a9c,12455,Yellow,2019,5
Connect Transit,2019_Q1,2d85be4,4054,Olive,2019,5
Connect Transit,2019_Q1,462be7a,15712,Redbird,2019,5
Connect Transit,2019_Q1,3461910,7488,Silver,2019,5
Connect Transit,2019_Q2,46ff7ad,21955,Green,2019,6
Connect Transit,2019_Q2,0cde077,27265,Red,2019,6
Connect Transit,2019_Q2,109cd63,27965,Lime,2019,6
Connect Transit,2019_Q2,ce9a0b5,7230,Aqua,2019,6
Connect Transit,2019_Q2,577141,4520,Orange,2019,6
